creationDate,fuelType,mainProvince,make,model,price,km,title,url,seller_name,seller_isProfessional,first_seen,last_seen
2026-02-17T12:53:32Z,Diésel,Barcelona,VOLKSWAGEN,Golf,14990,120000,VOLKSWAGEN Golf Advance 1.6 TDI,https://www.coches.net/volkswagen-golf-advance-16-tdi-85kw-115cv-5p-diesel-2018-en-barcelona-62662892-covo.aspx,"Evarist Automocio, Sl",True,2026-02-23,2026-02-23
2026-02-19T11:40:44Z,Diésel,Barcelona,SEAT,Ateca,19990,63286,SEAT Ateca 2.0 TDI StSp Reference,https://www.coches.net/seat-ateca-20-tdi-85kw-115cv-stsp-reference-5p-diesel-2022-en-barcelona-70011156-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-19T11:47:12Z,Híbrido,Barcelona,NISSAN,QASHQAI,26990,28498,NISSAN QASHQAI DIGT NConnecta,https://www.coches.net/nissan-qashqai-digt-103kw-nconnecta-5p-electrico-hibrido-2024-en-barcelona-70011267-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-20T11:43:39Z,Diésel,Barcelona,PEUGEOT,2008,19990,57305,PEUGEOT 2008 Allure BlueHDI 130 SS EAT8,https://www.coches.net/peugeot-2008-allure-bluehdi-130-ss-eat8-5p-diesel-2022-en-barcelona-70020024-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-19T11:48:56Z,Gasolina,Barcelona,SEAT,Ibiza,10400,85000,SEAT Ibiza 1.0 MPI Style,https://www.coches.net/seat-ibiza-10-mpi-59kw-80cv-style-5p-gasolina-2019-en-barcelona-70011290-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-20T11:44:49Z,Híbrido,Barcelona,FIAT,500,10490,37859,FIAT 500 Cult 1.0 Hybrid 70 CV,https://www.coches.net/fiat-500-cult-10-hybrid-51kw-70-cv-3p-electrico-hibrido-2021-en-barcelona-70020040-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-20T11:46:10Z,Gasolina,Barcelona,SKODA,Fabia,15690,25194,SKODA Fabia 1.0 MPI Selection,https://www.coches.net/skoda-fabia-10-mpi-59kw-80cv-selection-5p-gasolina-2024-en-barcelona-70020059-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-20T11:47:18Z,Gasolina,Barcelona,VOLKSWAGEN,Polo,19400,16921,VOLKSWAGEN Polo RLine 1.0 TSI,https://www.coches.net/volkswagen-polo-rline-10-tsi-70kw-95cv-5p-gasolina-2022-en-barcelona-70020071-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-19T11:38:10Z,Diésel,Barcelona,FORD,Puma,16490,57658,FORD Puma 1.5 Ecoblue Titanium,https://www.coches.net/ford-puma-15-ecoblue-88kw-120cv-titanium-5p-diesel-2021-en-barcelona-70011119-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-20T11:41:02Z,Gasolina,Barcelona,BMW,Serie 1,21990,131868,BMW Serie 1 118i,https://www.coches.net/bmw-serie-1-118i-5p-gasolina-2021-en-barcelona-70020000-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-02-20T11:41:42Z,Diésel,Barcelona,MERCEDES-BENZ,Clase A,17990,97548,MERCEDES-BENZ Clase A A 200 d Urban,https://www.coches.net/mercedes-benz-clase-a-a-200-d-urban-5p-diesel-2016-en-barcelona-70020010-covo.aspx,Crestanevada Barcelona,True,2026-02-23,2026-02-23
2026-01-05T17:51:03Z,Diésel,Madrid,PEUGEOT,508,12950,188894,PEUGEOT 508 SW Allure BlueHDi SS 6vel MAN,https://www.coches.net/peugeot-508-sw-allure-bluehdi-96kw-ss-6vel-man-5p-diesel-2019-en-madrid-62347069-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-05T17:51:02Z,Diésel,Madrid,RENAULT,Mégane,12950,160471,RENAULT Mégane Business Blue dCi,https://www.coches.net/renault-megane-business-blue-dci-70-kw-95cv-5p-diesel-2018-en-madrid-62347068-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-05T17:51:00Z,Diésel,Madrid,RENAULT,Talisman,14450,173348,RENAULT Talisman Limited Blue dCi,https://www.coches.net/renault-talisman-limited-blue-dci-88-kw-120cv-4p-diesel-2019-en-madrid-62347067-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-05T14:21:38Z,Híbrido,Madrid,TOYOTA,Corolla,30750,26986,TOYOTA Corolla 200H GRSport,https://www.coches.net/toyota-corolla-200h-grsport-5p-electrico-hibrido-2023-en-madrid-62345913-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-21T12:52:56Z,Diésel,Madrid,LAND-ROVER,Range Rover Velar,30950,99511,LAND-ROVER Range Rover Velar 2.0 D240 RDynamic 4WD Auto,https://www.coches.net/land-rover-range-rover-velar-20-d240-177kw-rdynamic-4wd-auto-5p-diesel-2019-en-madrid-62456965-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-05T17:51:35Z,Diésel,Madrid,SKODA,Octavia,16950,199390,SKODA Octavia Combi 2.0 TDI DSG Style,https://www.coches.net/skoda-octavia-combi-20-tdi-110kw-150cv-dsg-style-5p-diesel-2022-en-madrid-62347086-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-05T17:50:51Z,Diésel,Madrid,CITROEN,C4 Cactus,11750,127654,CITROEN C4 Cactus BlueHDi SS Shine,https://www.coches.net/citroen-c4-cactus-bluehdi-74kw-100cv-ss-shine-5p-diesel-2019-en-madrid-62347061-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
2026-01-05T17:50:55Z,Diésel,Madrid,OPEL,Crossland X,9750,254680,OPEL Crossland X 1.5D Design Line 120 Aniversar. SS,https://www.coches.net/opel-crossland-x-15d-75kw-design-line-120-aniversar-ss-5p-diesel-2019-en-madrid-62347063-covo.aspx,Bella Machina ,True,2026-02-23,2026-02-23
